PROGRAM NUMBER,PROGRAM NAME,STREET ADDRESS,CITY,STATE,ZIP CODE,COUNTY,PHONE,EMAIL,PROGRAM TYPE,SUTQ RATING,LICENSE/CERTIFICATION/REGISTRATION BEGIN DATE,LICENSE/CERTIFICATION/REGISTRATION END DATE,ADMINISTRATOR 1 NAME,ADMINISTRATOR 2 NAME,ADMINISTRATOR 3 NAME,PFCC AGREEMENT
2190020840,"""BECOMING ME"" SOCIAL AND EMOTIONAL LEARNING ENRICHMENT AFTER-SCHOOL PROGRAM",2627 PARK AVE,CINCINNATI,OH,45206,HAMILTON,513-687-2211,duncanstamper@yahoo.com,Licensed Child Care Center,1,2021-06-18,,,,,Y
2250032606,"161 CHILD CARE, LLC",2400 E DUBLIN GRANVILLE RD,COLUMBUS,OH,43231,FRANKLIN,614-999-2669,161childcare@gmail.com,Licensed Child Care Center,0,2025-10-06,2026-10-05,Hamda Mohammed,,,Y
962285331,"1LN-NAGEL, LORY",12474 COUNTY ROAD K,WAUSEON,OH,43567,FULTON,419-583-9891,lorynagel@yahoo.com,Licensed Type B Family Child Care Home,0,2014-01-01,,,,,Y
2190020063,1ST CHOICE CHILD CARE,4303 CLEVELAND AVE,COLUMBUS,OH,43224,FRANKLIN,614-934-7004,1stchoicechildcare22@gmail.com,Licensed Child Care Center,1,2019-07-29,,Farah Ahmed,,,Y
300864,1ST FRIENDS LEARNING ACADEMY,1930 PEARL RD,BRUNSWICK,OH,44212,MEDINA,330-225-4562,director@1stfriends.education,Licensed Child Care Center,2,2016-08-24,,SANDRA MURPHY,ELIZABETH COEY,,Y
205932,24 HOUR CHILD CARE FROM THE HEART,6012 ROE ST,CINCINNATI,OH,45227,HAMILTON,513-561-4268,24hrchildcare@fuse.net,Licensed Type A Family Child Care Home,2,2004-11-10,,PAMELA MASON,,,Y
2250032514,2ASONE CHILDCARE DEVELOPMENTAL CENTER LLC,422 EAST EIGHTH STREET,LIMA,OH,45804,ALLEN,419-371-7536,2asone611@gmail.com,Licensed Child Care Center,0,2025-10-09,2026-10-08,KIM BATTLE,,,Y
2240030148,3 KINGZ DAYCARE,3619 RISHER ROAD,YOUNGSTOWN,OH,44511,MAHONING,330-775-4016,jaronronnie369@gmail.com,Licensed Type B Family Child Care Home,0,2024-08-15,,,,,Y
2250031900,3 LITTLE MOCKINGBIRDS GROUP LLC,785 BUCKEYE AVE,NEWARK,OH,43055,LICKING,614-493-8696,erikaboystel@yahoo.com,Licensed Child Care Center,0,2025-06-09,2026-06-08,Erika Heller,,,N
2230028662,325 CHILDCARE CENTER,325 WEST BROAD STREET.,PATASKALA,OH,43062,LICKING,740-281-1280,jessica.calvelage@bvfymca.org,Licensed Child Care Center,1,2023-11-27,,Aundryea Harlan,,,Y
2190019999,3MB AFTERSCHOOL,18316 ST. CLAIR AVENUE,CLEVELAND,OH,44110,CUYAHOGA,216-309-1636,3mbafterschool@gmail.com,Licensed Child Care Center,1,2020-08-25,,Royston Smith,Faith Lloyd-Smith,,Y
2250032418,3T LEARNING ACADEMY,1437 REGENT AVE,CINCINNATI,OH,45237,HAMILTON,513-242-0072,3t@fuse.net,Licensed Type A Family Child Care Home,0,2025-11-24,2026-11-23,,,,Y
2230029207,4 LEGENDARY KIDS LLC,7390 READING RD,CINCINNATI,OH,45237,HAMILTON,513-818-8112,info@rlegendarykids.com,Licensed Child Care Center,0,2024-06-07,,Brigette Hill,,,Y
2250032503,4MYKIDZ LEARNING ACADEMY 2.0,10461 PIPPIN RD,CINCINNATI,OH,45231,HAMILTON,513-846-4044,aprilanderson@mykidz.info,Licensed Child Care Center,0,2025-09-02,2026-09-01,April Anderson,,,Y
2250031531,5 STAR EARLY CHILDHOOD EDUCATION ACADEMY 1 LLC,5920 CHEVIOT RD,CINCINNATI,OH,45247,HAMILTON,513-304-8332,5starecea@gmail.com,Licensed Child Care Center,3,2025-03-10,2026-03-09,Monic Lemons,,,Y
2250031550,5 STAR EARLY CHILDHOOD EDUCATION ACADEMY 2 LLC,8264 CLARA AVE,CINCINNATI,OH,45239,HAMILTON,513-304-8332,5starecea2@gmail.com,Licensed Child Care Center,3,2025-05-06,2026-05-05,Rico Blackman,,,Y
203941,A & D DAY CARE AND LEARNING CENTER INC,1049 INFIRMARY RD,DAYTON,OH,45418,MONTGOMERY,937-263-4447,jeanpe@aol.com,Licensed Child Care Center,1,1994-10-07,,WANDA PETERSON,,,Y
2200022786,A & J KIDUCATION LEARNING CENTER,1736 COMMERCE STREET,WELLSVILLE,OH,43968,COLUMBIANA,330-362-0159,baawbach@yahoo.com,Licensed Child Care Center,3,2020-12-11,,Kayla Swogger,Jamie Mitchell,Aubrey Bach,Y
2180019164,A + CHILDCARE AND PRESCHOOL,3310 WALES RD,MASSILLON,OH,44646,STARK,330-833-9222,apluskidscarejt@gmail.com,Licensed Child Care Center,0,2019-03-01,,Kassie Stein,,,Y
100361,"A 2 Z PRESCHOOL, INC.",190 WOODROW AVENUE,SAINT CLAIRSVIL,OH,43950,BELMONT,740-699-0200,stacythoburn@att.net,Licensed Child Care Center,0,2011-08-15,,DAWN SCHOOLCRAFT,,,N
107193,A BEAUTIFUL CHILD'S PRESCHOOL & DAYCARE,1449 BRITTAIN RD,AKRON,OH,44310,SUMMIT,330-798-1100,abeautifulchild@neo.rr.com,Licensed Child Care Center,3,2010-02-09,,Sarah Gharavi,,,Y
207607,A BETTER CHILD CARE CORP,6945 HARRISON AVENUE,CINCINNATI,OH,45247,HAMILTON,513-353-5437,sarah@myabcchildcare.com,Licensed Child Care Center,1,2009-11-20,,SARAH FOX,,,Y
400468,A BETTER CHOICE CHILDCARE,2572 CLEVELAND,COLUMBUS,OH,43211,FRANKLIN,614-268-8503,betterchoicechildcare@gmail.com,Licensed Child Care Center,1,2012-12-31,,Salma Abdullahi,,,Y
401180,A BETTER CHOICE DAYCARE & LEARNING CENTER,2960 E. DUBLIN GRANVILLE RD,COLUMBUS,OH,43231,FRANKLIN,614-547-7912,kelleyspence3@gmail.com,Licensed Child Care Center,3,2016-08-17,,Kelley Spence,,,Y
2220026936,A BETTER DAY ACADEMY,3128 MAYFIELD RD,CLEVELAND HEIGHTS,OH,44118,CUYAHOGA,216-205-4393,abetterdayacademy@gmail.com,Licensed Child Care Center,1,2023-01-29,,Christa Jemison,,,Y
2210025027,A BLESSED CHILD LEARNING ACADEMY,3870 E. LIVINGSTON AVE,COLUMBUS,OH,43227,FRANKLIN,614-302-6961,ablessedchildacademy@gmail.com,Licensed Child Care Center,0,2021-10-27,,Stephani Walker,,,Y
2190019864,A BLESSING WITHIN,1921 ROYAL AVE. NE.,CANTON,OH,44705,STARK,330-309-3509,blessingwithinchildcareprovider@yahoo.com,Licensed Type B Family Child Care Home,0,2019-12-16,,,,,Y
2170012900,A BREAK FOR MOM DAYCARE,3870 READING RD APT1,CINCINNATI,OH,45229,HAMILTON,513-332-3580,abreak4momdaycare@yahoo.com,Licensed Type A Family Child Care Home,0,2017-12-28,,,,,Y
2240029481,A BRIGHT START 4 KIDZ LEARNING CTR,8211 PLATT,CLEVELAND,OH,44104,CUYAHOGA,216-331-0012,abrightstart4kidz@gmail.com,Licensed Child Care Center,0,2024-06-23,,Michelle Rox,,,Y
200979,A BRIGHTER START CHILDCARE,2765 BLUE ROCK RD.,CINCINNATI,OH,45239,HAMILTON,513-741-7565,rpreciouschildren@ymail.com,Licensed Child Care Center,0,2015-05-30,,JESSICA SMITH-ALLEN,,,Y
205547,A CHILD'S GARDEN,5427 JULMAR DRIVE,CINCINNATI,OH,45238,HAMILTON,513-451-0330,marty@achildsgarden.us,Licensed Child Care Center,0,2001-10-16,,MARTHA P. SMITH,ASHLEY BOVARD,,N
2170012482,A CHILD'S JOURNEY LEARNING CENTER,846 S. YEARLING RD,WHITEHALL,OH,43213,FRANKLIN,614-670-4695,achildsjourneylearningcenter@gmail.com,Licensed Child Care Center,1,2017-01-30,,Akya Williams,TINITA SMITH,,Y
401176,A CHILD'S PLACE LEARNING CENTER,2010 OFFICEVIEW PLACE,REYNOLDSBURG,OH,43068,FRANKLIN,614-868-5437,lmatthews@achildsplacelearning.org,Licensed Child Care Center,2,2010-08-02,,LORRIE MATTHEWS,Melissa Days,,Y
2170014972,A CHILDS WORLD,6140 BARCLAY CT,CANAL WINCHESTER,OH,43110,FRANKLIN,614-615-0605,ewalker@berwyneastacademy.org,Licensed Type B Family Child Care Home,1,2017-04-24,,,,,Y
503972,"A FAMILY AFFAIR, LLC",648 FERNWOOD AVE,TOLEDO,OH,43604,LUCAS,419-242-3241,afamfair@aol.com,Licensed Type A Family Child Care Home,3,2008-07-09,,CHERYL DENISE WILSON,,,Y
2230029009,A FREE MIND LEARNING LLC,7287 CANDLESTONE DR,REYNOLDSBURG,OH,43068,FAIRFIELD,614-632-5784,nikkihoward89@yahoo.com,Licensed Type B Family Child Care Home,0,2024-09-06,2025-09-05,,,,Y
2230028830,A GRANDMOTHERS LOVE CHILD CARE,3333 WESTERVILLE WOODS DR,COLUMBUS,OH,43231,FRANKLIN,614-584-5818,jayvionna2014@gmail.com,Licensed Type B Family Child Care Home,0,2024-04-24,,,,,Y
200644,A GREAT START PRESCHOOL INC,7001 FAR HILLS AVE,DAYTON,OH,45459,MONTGOMERY,937-312-1621,agreatstart@aol.com,Licensed Child Care Center,0,2004-08-20,,CHRISTINA MILLER,,,Y
2200022922,A HEART 4 KIDS CHILDCARE & LEARNING CENTER,3914 PRESCOTT AVE,DAYTON,OH,45406,MONTGOMERY,937-607-3667,aheart4kidschildcare@icloud.com,Licensed Type A Family Child Care Home,2,2020-12-21,,Ronnye Gilkey,,,Y
2200021549,A HOME AWAY FROM HOME,2525 BRYONAIRE RD.,MANSFIELD,OH,44903,RICHLAND,419-543-6422,ahafhinhomechildcare@gmail.com,Licensed Type B Family Child Care Home,0,2020-08-03,,,,,Y
503390,A HOME AWAY FROM HOME LLC,4307 BELLEVISTA,TOLEDO,OH,43612,LUCAS,419-340-0166,mancoon2@buckeye-express.com,Licensed Type A Family Child Care Home,2,2005-10-17,,CAROLE CLAUS,,,Y
2220026701,A JOYFUL JOURNEY ACADEMY,1536 BARNETT ROAD,COLUMBUS,OH,43227,FRANKLIN,614-929-5247,myajjaprek@yahoo.com,Licensed Child Care Center,1,2022-09-20,,Sherise Ballantine-Smith,,,Y
300001,A JUBILEE ACADEMY,15751 LAKESHORE BLVD,CLEVELAND,OH,44110,CUYAHOGA,216-383-9050,chalron@att.net,Licensed Child Care Center,3,2010-04-26,,CHALFONTE SMITH,VENETTA PERRY,,Y
2190019520,A KIDS ONLY EARLY LEARNING CENTER INC. 4,2505 SOUTH RIDGE EAST,ASHTABULA,OH,44004,ASHTABULA,440-335-1540,kidsonlyash@yahoo.com,Licensed Child Care Center,3,2019-06-03,,Jolene Roberts,,,Y
