city_in_question,suggested_canonical_city,confidence,suggestion_type,source_count,target_basis_city,county_overlap,source_counties,target_counties,approved_alias_exists,reason
BEDFORD HTS,BEDFORD HEIGHTS,high,normalized-group,5,BEDFORD HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
BROADVIEW HTS,BROADVIEW HEIGHTS,high,normalized-group,1,BROADVIEW HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
CLEVELAND HTS,CLEVELAND HEIGHTS,high,normalized-group,13,CLEVELAND HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
CLEVELAND HTS.,CLEVELAND HEIGHTS,high,normalized-group,2,CLEVELAND HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
CONCORD TWNSHP,CONCORD TOWNSHIP,high,normalized-group,1,CONCORD TWNSHP,yes,LAKE,LAKE,no,Same normalized city spelling; using full-word canonical format.
CONCORD TWP,CONCORD TOWNSHIP,high,normalized-group,1,CONCORD TWNSHP,yes,LAKE,LAKE,no,Same normalized city spelling; using full-word canonical format.
CONCORD TWSP,CONCORD TOWNSHIP,high,normalized-group,1,CONCORD TWNSHP,yes,LAKE,LAKE,no,Same normalized city spelling; using full-word canonical format.
GARFIELD HTS,GARFIELD HEIGHTS,high,normalized-group,13,GARFIELD HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
GARFIELD HTS.,GARFIELD HEIGHTS,high,normalized-group,1,GARFIELD HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
HIGHLAND HGHTS,HIGHLAND HEIGHTS,high,normalized-group,1,HIGHLAND HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
HIGHLAND HTS,HIGHLAND HEIGHTS,high,normalized-group,2,HIGHLAND HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
LIBERTY TWP,LIBERTY TOWNSHIP,high,normalized-group,8,LIBERTY TOWNSHIP,yes,BUTLER|TRUMBULL,BUTLER,no,Same normalized city spelling; using full-word canonical format.
MAPLE HTS,MAPLE HEIGHTS,high,normalized-group,10,MAPLE HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
MAPLE HTS.,MAPLE HEIGHTS,high,normalized-group,2,MAPLE HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
MAYFIELD HTS,MAYFIELD HEIGHTS,high,normalized-group,3,MAYFIELD HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
MAYFIELD HTS.,MAYFIELD HEIGHTS,high,normalized-group,1,MAYFIELD HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
MIDDLEBURG HTS,MIDDLEBURG HEIGHTS,high,normalized-group,3,MIDDLEBURG HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
MT. GILEAD,MOUNT GILEAD,high,normalized-group,1,MOUNT GILEAD,yes,MORROW,MORROW,no,Same normalized city spelling; using full-word canonical format.
MT ORAB,MOUNT ORAB,high,normalized-group,3,MOUNT ORAB,yes,BROWN,BROWN,no,Same normalized city spelling; using full-word canonical format.
MT STERLING,MOUNT STERLING,high,normalized-group,1,MOUNT STERLING,yes,MADISON,MADISON,no,Same normalized city spelling; using full-word canonical format.
MT VERNON,MOUNT VERNON,high,normalized-group,2,MOUNT VERNON,yes,KNOX,KNOX,no,Same normalized city spelling; using full-word canonical format.
MT. VERNON,MOUNT VERNON,high,normalized-group,1,MOUNT VERNON,yes,KNOX,KNOX,no,Same normalized city spelling; using full-word canonical format.
PARMA HTS,PARMA HEIGHTS,high,normalized-group,4,PARMA HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
RICHMOND HTS,RICHMOND HEIGHTS,high,normalized-group,3,RICHMOND HEIGHTS,yes,CUYAHOGA,CUYAHOGA,no,Same normalized city spelling; using full-word canonical format.
