confidence,city_a,city_b,city_a_slug,city_b_slug,city_a_counties,city_b_counties,county_overlap,normalized_a,normalized_b,edit_distance,blocked_pair,approved_alias_exists,suggested_action,reason
high,BEDFORD HEIGHTS,BEDFORD HTS,bedford-heights,bedford-hts,CUYAHOGA,CUYAHOGA,yes,bedford heights,bedford heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,BROADVIEW HEIGHTS,BROADVIEW HTS,broadview-heights,broadview-hts,CUYAHOGA,CUYAHOGA,yes,broadview heights,broadview heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,CLEVELAND HEIGHTS,CLEVELAND HTS,cleveland-heights,cleveland-hts,CUYAHOGA,CUYAHOGA,yes,cleveland heights,cleveland heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,CLEVELAND HEIGHTS,CLEVELAND HTS.,cleveland-heights,cleveland-hts,CUYAHOGA,CUYAHOGA,yes,cleveland heights,cleveland heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,CLEVELAND HTS,CLEVELAND HTS.,cleveland-hts,cleveland-hts,CUYAHOGA,CUYAHOGA,yes,cleveland heights,cleveland heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,CONCORD TWNSHP,CONCORD TWP,concord-twnshp,concord-twp,LAKE,LAKE,yes,concord township,concord township,0,no,no,REVIEW,Same normalized city with county overlap.
high,CONCORD TWNSHP,CONCORD TWSP,concord-twnshp,concord-twsp,LAKE,LAKE,yes,concord township,concord township,0,no,no,REVIEW,Same normalized city with county overlap.
high,CONCORD TWP,CONCORD TWSP,concord-twp,concord-twsp,LAKE,LAKE,yes,concord township,concord township,0,no,no,REVIEW,Same normalized city with county overlap.
high,GARFIELD HEIGHTS,GARFIELD HTS,garfield-heights,garfield-hts,CUYAHOGA,CUYAHOGA,yes,garfield heights,garfield heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,GARFIELD HEIGHTS,GARFIELD HTS.,garfield-heights,garfield-hts,CUYAHOGA,CUYAHOGA,yes,garfield heights,garfield heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,GARFIELD HTS,GARFIELD HTS.,garfield-hts,garfield-hts,CUYAHOGA,CUYAHOGA,yes,garfield heights,garfield heights,0,no,no,REVIEW,Same normalized city with county overlap.
