city,slug,normalized,count,counties,zip_count
ABERDEEN,aberdeen,aberdeen,1,BROWN,1
ADA,ada,ada,4,HANCOCK|HARDIN,1
ADAMSVILLE,adamsville,adamsville,1,MUSKINGUM,1
ADENA,adena,adena,3,JEFFERSON,1
AKRN,akrn,akrn,1,SUMMIT,1
AKRON,akron,akron,203,SUMMIT,16
ALBANY,albany,albany,4,ATHENS,1
ALLIANCE,alliance,alliance,15,COLUMBIANA|STARK,1
AMANDA,amanda,amanda,2,FAIRFIELD,1
AMELIA,amelia,amelia,6,CLERMONT,1
AMESVILLE,amesville,amesville,1,ATHENS,1
AMHERST,amherst,amherst,8,LORAIN,1
ANDOVER,andover,andover,3,ASHTABULA,1
ANNA,anna,anna,3,SHELBY,1
ANSONIA,ansonia,ansonia,1,DARKE,1
ANTWERP,antwerp,antwerp,1,PAULDING,1
APPLE CREEK,apple-creek,apple creek,4,WAYNE,1
ARCADIA,arcadia,arcadia,2,HANCOCK,1
ARCANUM,arcanum,arcanum,4,DARKE,1
ARCHBOLD,archbold,archbold,8,FULTON|HENRY,1
ARLINGTON,arlington,arlington,3,HANCOCK,1
ASHLAND,ashland,ashland,16,ASHLAND,1
ASHLEY,ashley,ashley,2,DELAWARE,1
ASHTABULA,ashtabula,ashtabula,31,ASHTABULA,1
ASHVILLE,ashville,ashville,7,PICKAWAY,1
ATHENS,athens,athens,13,ATHENS,1
ATTICA,attica,attica,2,SENECA,1
ATWATER,atwater,atwater,4,PORTAGE,1
AURORA,aurora,aurora,8,PORTAGE,1
AUSTINBURG,austinburg,austinburg,3,ASHTABULA,1
AUSTINTOWN,austintown,austintown,8,MAHONING,1
AUSTINTWON,austintwon,austintwon,1,MAHONING,1
AVON,avon,avon,14,LORAIN,1
AVON LAKE,avon-lake,avon lake,14,LORAIN,1
BAINBRIDGE,bainbridge,bainbridge,4,GEAUGA|HIGHLAND|ROSS,2
BAINBRIDGE TWSP,bainbridge-twsp,bainbridge township,1,GEAUGA,1
BALTIC,baltic,baltic,1,TUSCARAWAS,1
BALTIMORE,baltimore,baltimore,4,FAIRFIELD|LICKING,1
BARBERTON,barberton,barberton,12,SUMMIT,1
BARNESVILLE,barnesville,barnesville,4,BELMONT,1
BASCOM,bascom,bascom,1,SENECA,1
BATAVIA,batavia,batavia,9,CLERMONT,1
BATH,bath,bath,2,SUMMIT,2
BAY VILLAGE,bay-village,bay village,6,CUYAHOGA,1
BEACHWOOD,beachwood,beachwood,14,CUYAHOGA,1
BEALLSVILLE,beallsville,beallsville,1,MONROE,1
BEAVER,beaver,beaver,1,PIKE,1
BEAVERCREEK,beavercreek,beavercreek,23,GREENE,5
BEAVERCREEK TOWNSHIP,beavercreek-township,beavercreek township,1,GREENE,1
BEAVERVREEK,beavervreek,beavervreek,1,GREENE,1
BEDFORD,bedford,bedford,16,CUYAHOGA,2
BEDFORD HEIGHTS,bedford-heights,bedford heights,8,CUYAHOGA,1
BEDFORD HTS,bedford-hts,bedford heights,5,CUYAHOGA,1
BELLAIRE,bellaire,bellaire,5,BELMONT,1
BELLBROOK,bellbrook,bellbrook,5,GREENE,1
BELLEFONTAINE,bellefontaine,bellefontaine,8,LOGAN,1
BELLEVUE,bellevue,bellevue,10,HURON|SANDUSKY,1
BELLVILLE,bellville,bellville,3,MORROW|RICHLAND,1
BELMONT,belmont,belmont,1,BELMONT,1
BELPRE,belpre,belpre,6,WASHINGTON,1
BEREA,berea,berea,6,CUYAHOGA,1
BERGHOLZ,bergholz,bergholz,2,JEFFERSON,1
BERKEY,berkey,berkey,2,LUCAS,1
BETHEL,bethel,bethel,6,CLERMONT,1
BETHESDA,bethesda,bethesda,1,BELMONT,1
BETTSVILLE,bettsville,bettsville,1,SENECA,1
BEVERLY,beverly,beverly,2,WASHINGTON,2
BEXLEY,bexley,bexley,7,FRANKLIN,1
BIDWELL,bidwell,bidwell,2,GALLIA,1
BLACKLICK,blacklick,blacklick,8,FRANKLIN,1
BLANCHESTER,blanchester,blanchester,3,CLINTON|WARREN,2
BLOOMDALE,bloomdale,bloomdale,1,WOOD,1
BLOOMINGBURG,bloomingburg,bloomingburg,1,FAYETTE,1
BLOOMINGDALE,bloomingdale,bloomingdale,1,JEFFERSON,1
BLOOMVILLE,bloomville,bloomville,1,SENECA,1
BLUE ASH,blue-ash,blue ash,2,HAMILTON,1
BLUFFTON,bluffton,bluffton,3,ALLEN|HANCOCK,1
BOARDMAN,boardman,boardman,28,MAHONING,1
BOLIVAR,bolivar,bolivar,3,TUSCARAWAS,1
BOTKINS,botkins,botkins,2,SHELBY,1
BOWERSTON,bowerston,bowerston,1,CARROLL,1
BOWLING GREEN,bowling-green,bowling green,19,WOOD,1
BRADFORD,bradford,bradford,2,DARKE,1
BRECKSVILLE,brecksville,brecksville,7,CUYAHOGA,1
BREMEN,bremen,bremen,2,FAIRFIELD,1
BRIDGEPORT,bridgeport,bridgeport,4,BELMONT,1
BRILLIANT,brilliant,brilliant,3,JEFFERSON,1
BRISTOLVILLE,bristolville,bristolville,1,TRUMBULL,1
BROADVIEW HEIGHTS,broadview-heights,broadview heights,4,CUYAHOGA,1
BROADVIEW HTS,broadview-hts,broadview heights,1,CUYAHOGA,1
BROOK PARK,brook-park,brook park,3,CUYAHOGA,1
BROOKFIELD,brookfield,brookfield,2,TRUMBULL,1
BROOKLYN,brooklyn,brooklyn,10,CUYAHOGA,1
BROOKLYN HEIGHTS,brooklyn-heights,brooklyn heights,1,CUYAHOGA,1
BROOKPARK,brookpark,brookpark,2,CUYAHOGA,2
BROOKVILLE,brookville,brookville,4,MONTGOMERY,1
BRUNSWICK,brunswick,brunswick,21,MEDINA,1
BRUNSWICK HILLS,brunswick-hills,brunswick hills,1,MEDINA,1
BRYAN,bryan,bryan,6,WILLIAMS,1
BUCYRUS,bucyrus,bucyrus,9,CRAWFORD,1
BURTON,burton,burton,3,GEAUGA,1
BUTLER,butler,butler,2,RICHLAND,1
BYESVILLE,byesville,byesville,5,GUERNSEY,1
CADIZ,cadiz,cadiz,3,HARRISON,1
CALDWELL,caldwell,caldwell,4,NOBLE,1
CALEDONIA,caledonia,caledonia,2,MARION,1
CAMBRIDGE,cambridge,cambridge,13,GUERNSEY,1
CAMDEN,camden,camden,2,PREBLE,1
CAMPBELL,campbell,campbell,10,MAHONING,1
CANAL FULTON,canal-fulton,canal fulton,6,STARK,1
CANAL WINCHESTE,canal-wincheste,canal wincheste,6,FRANKLIN,1
CANAL WINCHESTER,canal-winchester,canal winchester,26,FRANKLIN,1
CANALWINCHESTER,canalwinchester,canalwinchester,1,FRANKLIN,1
CANFIELD,canfield,canfield,14,MAHONING,1
CANTON,canton,canton,93,STARK,13
CARDINGTON,cardington,cardington,4,MORROW,1
CAREY,carey,carey,4,WYANDOT,1
CARLISLE,carlisle,carlisle,3,WARREN,1
CARROLL,carroll,carroll,5,FAIRFIELD,1
CARROLLTON,carrollton,carrollton,3,CARROLL,1
CASSTOWN,casstown,casstown,1,MIAMI,1
CASTALIA,castalia,castalia,2,ERIE,1
CEDARVILLE,cedarville,cedarville,1,GREENE,1
CELINA,celina,celina,8,MERCER,1
CENTERBURG,centerburg,centerburg,1,KNOX,1
CENTERVILLE,centerville,centerville,22,MONTGOMERY,2
CHAGRIN FALLS,chagrin-falls,chagrin falls,9,CUYAHOGA|GEAUGA,2
CHARDON,chardon,chardon,6,GEAUGA,1
CHAUNCEY,chauncey,chauncey,1,ATHENS,1
CHESAPEAKE,chesapeake,chesapeake,7,LAWRENCE,1
CHESTER TWP,chester-twp,chester township,1,GEAUGA,1
CHESTERLAND,chesterland,chesterland,8,GEAUGA,1
CHEVIOT,cheviot,cheviot,2,HAMILTON,1
CHILLICOTHE,chillicothe,chillicothe,29,ROSS,1
CIN,cin,cin,1,HAMILTON,1
CINCINAATI,cincinaati,cincinaati,1,HAMILTON,1
CINCINANTI,cincinanti,cincinanti,1,HAMILTON,1
CINCINATI,cincinati,cincinati,2,HAMILTON,2
CINCINATTI,cincinatti,cincinatti,1,HAMILTON,1
CINCINNATI,cincinnati,cincinnati,1049,BUTLER|CLERMONT|HAMILTON|WARREN,49
CINCINNATTI,cincinnatti,cincinnatti,1,HAMILTON,1
