slug,city,count,counties
cleveland-hts,CLEVELAND HTS,13,CUYAHOGA
cleveland-hts,CLEVELAND HTS.,2,CUYAHOGA
garfield-hts,GARFIELD HTS,13,CUYAHOGA
garfield-hts,GARFIELD HTS.,1,CUYAHOGA
maple-hts,MAPLE HTS,10,CUYAHOGA
maple-hts,MAPLE HTS.,2,CUYAHOGA
mayfield-hts,MAYFIELD HTS,3,CUYAHOGA
mayfield-hts,MAYFIELD HTS.,1,CUYAHOGA
mt-vernon,MT VERNON,2,KNOX
mt-vernon,MT. VERNON,1,KNOX
richmond-hts,RICHMOND HTS,3,CUYAHOGA
richmond-hts,RICHMOND HTS.,1,CUYAHOGA
warrensville-hts,WARRENSVILLE HTS,7,CUYAHOGA
warrensville-hts,WARRENSVILLE HTS.,1,CUYAHOGA
wash-c-h,WASH C.H.,1,FAYETTE
wash-c-h,WASH. C.H.,1,FAYETTE
washington-c-h,WASHINGTON C H,2,FAYETTE
washington-c-h,WASHINGTON C.H.,1,FAYETTE
